A Flintoff,England,10,141,119,5624,4121,169,5/19,24.38,4.39,33.2,6,2
SR Watson,Australia,13,190,163,6466,5342,168,4/36,31.79,4.95,38.4,3,0
CH Gayle,West Indies,20,301,199,7424,5926,167,5/46,35.48,4.78,44.4,3,1
TA Boult,New Zealand,7,89,89,4884,4111,164,7/34,25.06,5.05,29.7,7,5
Mushtaq Ahmed,Pakisthan,14,144,142,7543,5361,161,5/36,33.29,4.26,46.8,3,1
Sir RJ Hadlee,New Zealand,17,115,112,6182,3407,158,5/25,21.56,3.3,39.1,1,5
Shoaib Malik,Pakisthan,20,287,217,7958,6192,158,4/19,39.18,4.66,50.3,1,0
MD Marshall,West Indies,12,136,134,7175,4233,157,4/18,26.96,3.53,45.7,6,0
A Nehra,India,10,120,120,5751,4981,157,6/23,31.72,5.19,36.6,5,2
M Prabhakar,India,12,130,127,6360,4534,157,5/33,28.87,4.27,40.5,4,2
GB Hogg,Australia,12,123,113,5564,4188,156,5/32,26.84,4.51,35.6,3,2
SR Tendulkar,India,23,463,270,8054,6850,154,5/32,44.48,5.1,52.2,4,2
BAW Mendis,Sri Lanka,7,87,84,4154,3324,152,6/13,21.86,4.8,27.3,7,3
UDU Chandana,Sri Lanka,13,147,136,6142,4818,151,5/61,31.9,4.7,40.6,4,1
R Ashwin,India,7,111,109,6021,4937,150,4/25,32.91,4.91,40.1,1,0
SE Bond,New Zealand,8,82,80,4295,3070,147,6/19,20.88,4.28,29.2,7,4
J Garner,West Indies,10,98,98,5330,2752,146,5/31,18.84,3.09,36.5,2,3
IT Botham,England,16,116,115,6271,4139,145,4/31,28.54,3.96,43.2,3,0
TM Odoyo,Afr/KENYA,18,136,129,5649,4335,145,4/25,29.89,4.6,38.9,5,0
AU Rashid,England,10,99,93,4851,4547,143,5/27,31.79,5.62,33.9,7,2
JN Gillespie,Australia,9,97,96,5144,3611,142,5/22,25.42,4.21,36.2,3,3
MA Holding,West Indies,11,102,102,5473,3034,142,5/26,21.36,3.32,38.5,5,1
CR Woakes,England,8,99,95,4638,4327,142,6/45,30.47,5.59,32.6,9,3
EJ Chatfield,New Zealand,10,114,112,6065,3618,140,5/34,25.84,3.57,43.3,3,1
Mohammad Hafeez,Pakisthan,16,218,177,7733,5400,139,4/41,38.84,4.18,55.6,1,0
HDPK Dharmasena,Sri Lanka,10,141,134,7009,4998,138,4/37,36.21,4.27,50.7,1,0
SB Styris,New Zealand,12,188,161,6114,4839,137,6/25,35.32,4.74,44.6,4,1
Mohammed Shami,India,6,73,72,3709,3400,136,5/69,25.0,5.5,27.2,8,1
MF Maharoof,Sri Lanka,12,109,105,4640,3789,135,6/14,28.06,4.89,34.3,4,2
LE Plunkett,England,14,89,87,4137,4010,135,5/52,29.7,5.81,30.6,6,1
DW Fleming,Australia,7,88,88,4619,3402,134,5/36,25.38,4.41,34.4,4,1
JO Holder,West Indies,6,112,108,5179,4777,133,5/27,35.91,5.53,38.9,4,2
Rashid Khan,Afganisthan,4,71,67,3558,2467,133,7/18,18.54,4.16,26.7,4,4
A Symonds,Australia,11,198,158,5935,4955,133,5/18,37.25,5.0,44.6,2,1
P Utseya,Zimbabwe,11,164,160,8571,6239,133,5/36,46.9,4.36,64.4,2,1
Abdul Qadir,Pakisthan,10,104,100,5100,3454,132,5/44,26.16,4.06,38.6,4,2
B Kumar,India,7,114,113,5451,4568,132,5/42,34.6,5.02,41.2,4,1
M Dillon,West Indies,8,108,107,5480,4218,130,5/29,32.44,4.61,42.1,3,3
Mohammad Nabi,Afganisthan,10,124,120,5919,4231,130,4/30,32.54,4.28,45.5,3,0
