CK Kapugedera,Sri Lanka,11,43,43,17,17,0,0
KMDN Kulasekara,Sri Lanka,9,58,58,17,17,0,0
JA Morkel,South Africa,10,50,50,17,17,0,0
MDKJ Perera,Sri Lanka,6,42,42,17,13,4,7
Sikandar Raza,Zimbabwe,6,32,32,17,17,0,0
BDH Stevens,JER,0,17,17,17,17,0,0
Sultan Ahmed,OMAN,2,17,16,17,14,3,14
Babar Hayat,HKG,3,24,24,16,16,0,0
SW Billings,England,4,26,26,16,15,1,4
K Doriga,Papua New Guinea,0,17,17,16,15,1,15
Hamza Tariq,CAN,6,15,15,16,12,4,12
JW Jenner,JER,0,17,17,16,16,0,0
P Khadka,NEPAL,5,30,30,16,16,0,0
Nawroz Mangal,Afganisthan,7,32,32,16,16,0,0
AM Rahane,India,5,20,20,16,16,0,0
WB Rankin,England,10,48,47,16,16,0,0
Rashid Khan,Afganisthan,4,45,45,16,16,0,0
Shafiqullah,Afganisthan,9,46,46,16,14,2,1
Ahmed Shehzad,Pakisthan,10,59,59,15,15,0,0
Babar Azam,Pakisthan,3,36,36,15,15,0,0
B Bhandari,NEPAL,5,27,27,15,10,5,7
PD Collingwood,England,12,36,36,15,15,0,0
CH Gayle,West Indies,13,58,58,15,15,0,0
Ghulam Shabber,UAE,3,17,17,15,14,1,14
ZE Green,NAM,0,16,16,15,10,5,10
Nasir Hossain,Bangladesh,5,31,30,15,15,0,0
SW Poynter,Ireland,4,25,23,15,13,2,8
MS Wade,Australia,5,26,26,15,13,2,13
CAK Walton,West Indies,4,19,19,15,13,2,10
SC Williams,Zimbabwe,13,38,38,15,15,0,0
JJ Atkinson,HKG,2,13,13,14,14,0,14
A Balbirnie,Ireland,4,37,35,14,14,0,0
F Behardien,South Africa,6,38,38,14,14,0,0
Fakhar Zaman,Pakisthan,2,34,34,14,14,0,0
Imad Wasim,Pakisthan,4,41,41,14,14,0,0
IA Karim,KENYA,6,16,16,14,11,3,9
G Malla,NEPAL,5,24,24,14,14,0,0
Misbah-ul-Haq,Pakisthan,5,39,39,14,14,0,0
MP O'Dowd,NL,4,36,35,14,14,0,0
KP Pietersen,England,8,37,36,14,14,0,0
MJ Santner,New Zealand,4,39,38,14,14,0,0
A Vala,Papua New Guinea,4,26,26,14,14,0,0
J Vira,VAN,0,14,14,14,10,4,10
LJ Wright,England,7,51,50,14,14,0,0
AC Agar,Australia,3,21,21,13,13,0,0
Ahmed Raza,UAE,5,36,36,13,13,0,0
Ahsan Malik,NL,5,31,30,13,13,0,0
TC Bruce,New Zealand,2,15,14,13,13,0,1
MJ Clarke,Australia,5,34,34,13,13,0,0
NM Coulter-Nile,Australia,6,28,27,13,13,0,0
JEC Franklin,New Zealand,7,38,38,13,13,0,0
Liton Das,Bangladesh,4,25,25,13,13,0,0
JF Mooney,Ireland,6,27,27,13,13,0,0
MA Ouma,KENYA,6,22,22,13,8,5,8
TD Paine,Australia,8,12,12,13,11,2,11
SP Patil,UAE,2,18,18,13,9,4,9
KL Rahul,India,3,34,34,13,13,0,0
Aamir Kaleem,OMAN,4,25,24,12,12,0,0
TA Boult,New Zealand,6,27,27,12,12,0,0
J Charles,West Indies,5,34,34,12,10,2,0
JH Davey,SCOT,7,21,20,12,12,0,0
CR Ervine,Zimbabwe,9,22,22,12,12,0,0
HG Munsey,SCOT,4,38,36,12,12,0,0
Nadeem Ahmed,HKG,3,24,24,12,12,0,0
JDP Oram,New Zealand,7,36,36,12,12,0,0
Saeed Ajmal,Pakisthan,6,64,64,12,12,0,0
MN Samuels,West Indies,11,67,67,12,12,0,0
TL Seifert,New Zealand,1,19,19,12,8,4,8
V Sibanda,Zimbabwe,9,26,26,12,12,0,0
Tamoor Sajjad,QAT,0,12,12,12,12,0,0
HA Varaiya,KENYA,6,25,25,12,12,0,0
DJ Willey,England,4,28,28,12,12,0,0
Younis Khan,Pakisthan,4,25,25,12,12,0,0
Yuvraj Singh,India,10,58,57,12,12,0,0
A Bagai,CAN,5,9,9,11,5,6,5
S Chandramohan,SGP,0,12,12,11,11,0,0
TH David,SGP,0,12,12,11,11,0,0
N Davin,NAM,0,16,16,11,11,0,0
JSE Dunford,JER,0,17,17,11,6,5,6
MG Erasmus,NAM,0,16,16,11,11,0,0
JP Faulkner,Australia,5,24,24,11,11,0,0
G Gambhir,India,5,37,36,11,11,0,0
Imran Nazir,Pakisthan,5,25,25,11,11,0,0
Jatinder Singh,OMAN,4,25,25,11,11,0,0
Khawar Ali,OMAN,4,29,28,11,11,0,0
Mohammed Rizlan,QAT,0,15,15,11,8,3,8
PL Mommsen,SCOT,4,24,22,11,11,0,0
GD Phillips,New Zealand,1,11,10,11,9,2,7
Rizwan Cheema,CAN,11,24,24,11,11,0,0
Rohan Mustafa,UAE,5,38,38,11,11,0,0
AD Russell,West Indies,7,47,47,11,11,0,0
Shadab Khan,Pakisthan,2,38,38,11,11,0,0
Shaiman Anwar,UAE,5,32,32,11,11,0,0
DW Steyn,South Africa,12,44,44,11,11,0,0
T Taibu,Zimbabwe,5,17,17,11,6,5,6
PA van Meekeren,NL,6,41,39,11,11,0,0
D Weston,GER,0,6,6,11,9,2,9
Abdur Razzak,Bangladesh,8,34,33,10,10,0,0
GJ Bailey,Australia,5,30,30,10,10,0,0
SJ Benn,West Indies,8,24,24,10,10,0,0
TT Bresnan,England,8,34,34,10,10,0,0
RP Burl,Zimbabwe,1,16,16,10,10,0,0
SS Cottrell,West Indies,5,22,22,10,10,0,0
N Dickwella,Sri Lanka,3,23,23,10,10,0,9
R Escobar,Arg,0,5,5,10,7,3,7
FJ Klaassen,NL,1,21,20,10,10,0,0
Mashrafe Mortaza,Bangladesh,11,54,53,10,10,0,0
Nizakat Khan,HKG,5,34,34,10,10,0,0
JL Ontong,South Africa,7,14,14,10,10,0,0
RJ Peterson,South Africa,8,21,21,10,10,0,0
AU Rashid,England,10,40,40,10,10,0,0
SM Sharif,SCOT,7,42,41,10,10,0,0
JJ Smit,NAM,0,12,12,10,10,0,0
LJ Tucker,Ireland,3,14,14,10,10,0,2
Usman Ghani,Afganisthan,4,19,19,10,10,0,0
Asif Ali,Pakisthan,1,25,25,9,9,0,0
Mudassar Bukhari,NL,8,38,36,9,9,0,0
CJ Chibhabha,Zimbabwe,12,33,33,9,9,0,0
MD Gunathilaka,Sri Lanka,3,21,21,9,9,0,0
DT Johnston,Ireland,5,30,28,9,9,0,0
Karan KC,NEPAL,4,25,25,9,9,0,0
E Lewis,West Indies,3,29,29,9,9,0,0
PD McGlashan,New Zealand,4,11,11,9,9,0,9
Manpreet Singh,ITA,0,8,7,9,6,3,6
Mohamed Azzam,Mald,0,7,7,9,8,1,8
J Mubarak,Sri Lanka,2,16,16,9,9,0,0
Mustafizur Rahman,Bangladesh,4,37,37,9,9,0,0
SO Ngoche,KENYA,9,28,28,9,9,0,0
RR Pant,India,2,26,26,9,6,3,4
YK Pathan,India,5,22,22,9,9,0,0
R Powell,West Indies,2,23,23,9,9,0,0
MJ Prior,England,3,10,10,9,6,3,6
DMW Rawlins,Bermuda,0,11,11,9,9,0,0
JA Richardson,Australia,2,9,9,9,9,0,0
