JW Dernbach,England,3,34,33,117.0,1,1020,39,4/22,26.15,8.71,18.0,1,0
AU Rashid,England,10,40,38,133.0,1,1000,39,3/11,25.64,7.51,20.4,0,0
Rohan Mustafa,UAE,5,38,36,113.5,2,774,39,4/18,19.84,6.79,17.5,1,0
MA Starc,Australia,7,28,28,106.3,1,718,39,3/11,18.41,6.74,16.3,0,0
MG Johnson,Australia,6,30,30,109.2,2,797,38,3/15,20.97,7.28,17.2,0,0
HH Pandya,India,3,40,39,116.5,1,976,38,4/38,25.68,8.35,18.4,1,0
DL Vettori,New Zealand,7,34,34,131.1,1,748,38,4/20,19.68,5.7,20.7,1,0
J Botha,South Africa,6,40,39,129.0,1,823,37,3/16,22.24,6.37,20.9,0,0
Kuldeep Yadav,India,2,19,19,71.3,1,499,37,5/24,13.48,6.97,11.5,1,1
AD Mathews,Sri Lanka,9,72,57,161.3,4,1101,37,3/16,29.75,6.81,26.1,0,0
Mohammad Naveed,UAE,4,31,31,114.4,5,729,37,3/14,19.7,6.35,18.5,0,0
AJ Tye,Australia,2,26,25,91.5,1,815,37,4/23,22.02,8.87,14.8,1,0
AC Evans,SCOT,4,27,25,93.0,4,689,36,5/24,19.13,7.4,15.5,0,1
JP Faulkner,Australia,5,24,24,85.5,0,684,36,5/27,19.0,7.96,14.3,0,1
AG Cremer,Zimbabwe,10,29,28,95.0,1,660,35,3/11,18.85,6.94,16.2,0,0
AR Cusack,Ireland,7,37,33,101.0,3,714,35,4/11,20.4,7.06,17.3,3,0
Hasan Ali,Pakisthan,3,30,30,103.3,3,877,35,3/23,25.05,8.47,17.7,0,0
RA Jadeja,India,10,46,46,152.1,4,1093,35,3/48,31.22,7.18,26.0,0,0
SO Ngoche,KENYA,9,28,28,94.0,0,637,35,4/14,18.2,6.77,16.1,2,0
Shapoor Zadran,Afganisthan,8,34,34,107.5,3,843,35,3/40,24.08,7.81,18.4,0,0
N Vanua,Papua New Guinea,4,25,25,81.4,3,505,35,5/17,14.42,6.18,14.0,1,1
Aizaz Khan,HKG,5,30,30,99.2,2,692,34,3/10,20.35,6.96,17.5,0,0
NM Coulter-Nile,Australia,6,28,27,97.0,1,802,34,4/31,23.58,8.26,17.1,1,0
CH Morris,South Africa,7,23,23,83.0,3,697,34,4/27,20.5,8.39,14.6,1,0
A Nehra,India,8,27,27,98.0,2,758,34,3/19,22.29,7.73,17.2,0,0
