BRM Taylor,Zimbabwe,13,38,38,5,818,75,24.78,678,120.64,0,5,5,81,23
Sarfaraz Ahmed,Pakisthan,9,58,41,12,812,89,28.0,641,126.67,0,3,2,79,15
LD Chandimal,Sri Lanka,8,54,47,4,800,58,18.6,766,104.43,0,4,0,73,16
W Barresi,NL,7,42,41,6,799,75,22.82,695,114.96,0,4,3,69,21
Soumya Sarkar,Bangladesh,4,46,46,0,791,51,17.19,648,122.06,0,1,8,81,28
A Balbirnie,Ireland,4,37,33,2,790,83,25.48,593,133.22,0,4,3,94,12
Misbah-ul-Haq,Pakisthan,5,39,34,13,788,87,37.52,715,110.2,0,3,2,45,26
P Khadka,NEPAL,5,30,29,3,777,106,29.88,602,129.06,1,4,3,79,26
ADS Fletcher,West Indies,10,42,40,4,765,84,21.25,707,108.2,0,6,6,54,37
LJ Wright,England,7,51,45,5,759,99,18.97,554,137.0,0,4,9,68,31
Fakhar Zaman,Pakisthan,2,34,33,0,756,91,22.9,553,136.7,0,4,2,86,22
DJ Hussey,Australia,4,39,36,3,756,88,22.9,623,121.34,0,3,4,41,34
MH Cross,SCOT,6,43,35,6,755,66,26.03,593,127.31,0,5,3,77,22
JJ Roy,England,4,32,32,0,743,78,23.21,512,145.11,0,4,4,75,35
SJ Myburgh,NL,7,33,32,2,741,71,24.7,635,116.69,0,5,6,82,22
J Charles,West Indies,5,34,33,0,724,84,21.93,595,121.68,0,4,4,84,26
MEK Hussey,Australia,7,38,30,11,721,60,37.94,529,136.29,0,4,1,58,25
RS Bopara,England,6,38,35,10,711,65,28.44,599,118.69,0,3,0,54,17
CK Kapugedera,Sri Lanka,11,43,38,7,703,50,22.67,591,118.95,0,1,0,58,25
Muhammad Usman,UAE,3,34,32,5,695,89,25.74,593,117.2,0,3,3,61,21
CO Obuya,KENYA,12,35,33,6,691,75,25.59,649,106.47,0,4,3,47,17
TP Ura,Papua New Guinea,4,23,23,5,671,107,37.27,476,140.96,1,4,0,54,31
JH Kallis,South Africa,7,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20
PW Borren,NL,9,43,38,5,638,57,19.33,524,121.75,0,1,2,60,18
D Ramdin,West Indies,13,71,50,16,636,55,18.7,551,115.42,0,1,3,51,19
ST Jayasuriya,Sri Lanka,5,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23
CJ Chibhabha,Zimbabwe,12,33,32,0,621,67,19.4,570,108.94,0,5,3,72,12
MR Swart,NL,4,26,25,2,621,89,27.0,537,115.64,0,4,1,53,16
